id,name,population,code
01,Alabama,4921532,AL
02,Alaska,731158,AK
04,Arizona,7421401,AZ
05,Arkansas,3030522,AR
06,California,39368078,CA
08,Colorado,5807719,CO
09,Connecticut,3557006,CT
10,Delaware,986809,DE
11,District of Columbia,712816,DC
12,Florida,21733312,FL
13,Georgia,10710017,GA
15,Hawaii,1407006,HI
16,Idaho,1826913,ID
17,Illinois,12587530,IL
18,Indiana,6754953,IN
19,Iowa,3163561,IA
20,Kansas,2913805,KS
21,Kentucky,4477251,KY
22,Louisiana,4645318,LA
23,Maine,1350141,ME
24,Maryland,6055802,MD
25,Massachusetts,6893574,MA
26,Michigan,9966555,MI
27,Minnesota,5657342,MN
28,Mississippi,2966786,MS
29,Missouri,6151548,MO
30,Montana,1080577,MT
31,Nebraska,1937552,NE
32,Nevada,3138259,NV
33,New Hampshire,1366275,NH
34,New Jersey,8882371,NJ
35,New Mexico,2106319,NM
36,New York,19336776,NY
37,North Carolina,10600823,NC
38,North Dakota,765309,ND
39,Ohio,11693217,OH
40,Oklahoma,3980783,OK
41,Oregon,4241507,OR
42,Pennsylvania,12783254,PA
44,Rhode Island,1057125,RI
45,South Carolina,5218040,SC
46,South Dakota,892717,SD
47,Tennessee,6886834,TN
48,Texas,29360759,TX
49,Utah,3249879,UT
50,Vermont,623347,VT
51,Virginia,8590563,VA
53,Washington,7693612,WA
54,West Virginia,1784787,WV
55,Wisconsin,5832655,WI
56,Wyoming,582328,WY
72,Puerto Rico,3159343,PR
