id,name,long,lat,state_name
01001,Autauga,-86.494165,32.500389,Alabama
01003,Baldwin,-87.762381,30.548923,Alabama
01005,Barbour,-85.310038,31.844036,Alabama
01007,Bibb,-87.127659,33.030921,Alabama
01009,Blount,-86.591491,33.955242999999996,Alabama
01011,Bullock,-85.701192,32.116327000000005,Alabama
01013,Butler,-86.65355,31.773539000000003,Alabama
01015,Calhoun,-85.81944200000001,33.72546,Alabama
01017,Chambers,-85.266474,32.860439,Alabama
01019,Cherokee,-85.629194,34.179333,Alabama
01021,Chilton,-86.68740600000001,32.877547,Alabama
01023,Choctaw,-88.26416400000001,32.016562,Alabama
01025,Clarke,-87.815673,31.685685,Alabama
01027,Clay,-85.820227,33.272412,Alabama
01029,Cleburne,-85.494315,33.62977,Alabama
01031,Coffee,-85.904715,31.354433,Alabama
01033,Colbert,-87.685151,34.723385,Alabama
01035,Conecuh,-86.996483,31.418674,Alabama
01037,Coosa,-86.155035,32.975932,Alabama
01039,Covington,-86.410955,31.282449,Alabama
01041,Crenshaw,-86.29708000000001,31.743487,Alabama
01043,Cullman,-86.831859,34.162362,Alabama
01045,Dale,-85.641269,31.383346000000003,Alabama
01047,Dallas,-87.03495500000001,32.408815000000004,Alabama
01049,DeKalb,-85.817208,34.45511,Alabama
01051,Elmore,-86.225647,32.559652,Alabama
01053,Escambia,-87.282053,31.088737,Alabama
01055,Etowah,-86.02539300000001,34.013692999999996,Alabama
01057,Fayette,-87.77035500000001,33.726422,Alabama
01059,Franklin,-87.793594,34.460481,Alabama
01061,Geneva,-85.788849,31.09426,Alabama
01063,Greene,-87.924,32.830505,Alabama
01065,Hale,-87.62608399999999,32.775804,Alabama
01067,Henry,-85.268828,31.478593,Alabama
01069,Houston,-85.391221,31.20455,Alabama
01071,Jackson,-85.938698,34.731984000000004,Alabama
01073,Jefferson,-86.814688,33.518601000000004,Alabama
01075,Lamar,-88.109649,33.762769,Alabama
01077,Lauderdale,-87.60875899999999,34.866178999999995,Alabama
01079,Lawrence,-87.272414,34.543683,Alabama
01081,Lee,-85.345833,32.588091999999996,Alabama
01083,Limestone,-86.93897199999999,34.815612,Alabama
01085,Lowndes,-86.618688,32.162415,Alabama
01087,Macon,-85.715007,32.425739,Alabama
01089,Madison,-86.613232,34.746392,Alabama
01091,Marengo,-87.800648,32.340478999999995,Alabama
01093,Marion,-87.8743,34.111796999999996,Alabama
01095,Marshall,-86.293279,34.311974,Alabama
01097,Mobile,-88.170637,30.683993,Alabama
01099,Monroe,-87.36089399999999,31.505611,Alabama
01101,Montgomery,-86.243797,32.346175,Alabama
01103,Morgan,-86.93078100000001,34.514252,Alabama
01105,Perry,-87.369219,32.581066,Alabama
01107,Pickens,-88.06647199999999,33.292972999999996,Alabama
01109,Pike,-85.948647,31.787277000000003,Alabama
01111,Randolph,-85.427266,33.257607,Alabama
01113,Russell,-85.062843,32.421972,Alabama
01115,St. Clair,-86.369107,33.660628,Alabama
01117,Shelby,-86.737978,33.290719,Alabama
01119,Sumter,-88.232646,32.57442,Alabama
01121,Talladega,-86.169238,33.372083,Alabama
01123,Tallapoosa,-85.864503,32.85306,Alabama
01125,Tuscaloosa,-87.520229,33.214154,Alabama
